tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,1508.0,1475.0,1603.0,21.0,185.0,4.0,10.0,6.0,,,918.0,1.0,4.0,,197.0,1.0,,90.0,63.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,101.0,,,,,,,1.0,7.0,9.0,,,,,,,,,,11.0,,,,114.0,24.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,1473.0,1613.0,1539.0,9.0,65.0,,9.0,2.0,,1.0,1051.0,4.0,10.0,,212.0,,,17.0,200.0,,26.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,59.0,,,,,,,1.0,6.0,6.0,,,,,1.0,,,,,9.0,,,,129.0,10.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,476.0,564.0,521.0,2.0,30.0,,2.0,,1.0,,470.0,,2.0,,51.0,,,20.0,33.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,26.0,3.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,526.0,507.0,500.0,11.0,39.0,1.0,11.0,8.0,3.0,,284.0,,4.0,,68.0,,,7.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,1.0,1.0,,,,,2.0,,,,,14.0,,,,135.0,25.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1205.0,1163.0,1160.0,14.0,117.0,,8.0,4.0,,1.0,776.0,,10.0,,126.0,1.0,1.0,77.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,4.0,7.0,,,,,19.0,,,,,16.0,,,,152.0,14.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,587.0,686.0,722.0,2.0,12.0,1.0,,2.0,1.0,,591.0,,14.0,,33.0,,,9.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,1.0,5.0,5.0,,,,,1.0,,,,,2.0,,,,67.0,32.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,381.0,564.0,780.0,77.0,81.0,133.0,4.0,1.0,,,,2.0,,,956.0,8.0,,5.0,18.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,11.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,21.0,1.0,3.0,,,,2.0,8.0,4.0,2.0,,1.0,,,4.0,,4.0,,,48.0,,,,256.0,27.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,2458.0,3709.0,4271.0,256.0,186.0,17.0,204.0,4.0,,1.0,,5.0,7.0,2.0,5726.0,27.0,6.0,18.0,163.0,2.0,,,2.0,,,,,,,2.0,,,,,8.0,7.0,,,,,,11.0,,10.0,,1.0,,3.0,,,,,1.0,,,,,,,,,,,23.0,87.0,2.0,17.0,5.0,2.0,,4.0,89.0,4.0,9.0,,,,,4.0,,62.0,,1.0,181.0,,,1.0,1080.0,201.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,3171.0,4366.0,4892.0,119.0,97.0,13.0,7.0,,1.0,,,,1.0,,7104.0,20.0,1.0,7.0,350.0,,,,11.0,,,,,,,8.0,,,,2.0,10.0,11.0,,,1.0,,,24.0,28.0,8.0,1.0,,,1.0,,,,,,,,,,,,,,,,12.0,89.0,,6.0,4.0,4.0,2.0,5.0,66.0,2.0,7.0,1.0,,,,2.0,,76.0,,,283.0,,1.0,1.0,991.0,78.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,2459.0,3443.0,3815.0,136.0,169.0,664.0,12.0,3.0,,,1.0,7.0,4.0,1.0,5126.0,24.0,2.0,9.0,238.0,,,,11.0,,,,,,,7.0,,,,1.0,5.0,12.0,,,,,,10.0,1.0,7.0,,,,,,,,,,,,,,,,,,1.0,,12.0,62.0,,13.0,6.0,3.0,,3.0,64.0,7.0,7.0,,,,,4.0,,87.0,,1.0,119.0,,,,930.0,134.0,1.0
